peak_g_mag,std_g_mag,peak_hp8_vertical,peak_jerk_mag,max_elevated_dur,is_event,impact_timestamp_iso8601,impact_elapsed_sec,impact_source_sample_idx,source_folder,athlete_name
4.94649,1.0140397345269812,2.309559741614313,361.7975638088239,0.01,False,2026-06-25T17:44:44.686Z,760.169,1385,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
5.77229,1.1604337863966865,1.2573470668060278,846.3115963786623,0.03,False,2026-06-25T17:54:37.573Z,1353.056,1481,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
5.77229,1.2446175174475995,1.2573470668060278,846.3115963786623,0.03,False,2026-06-25T17:54:37.901Z,1353.384,1514,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
6.06467,1.085392951995308,2.1166378194377624,449.27128205239205,0.029,False,2026-06-25T17:54:38.677Z,1354.16,1592,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
6.47574,1.2851044095846071,3.4001640890774,516.0926907867143,0.04,True,2026-06-25T17:54:39.214Z,1354.698,1646,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
4.17623,0.8783868219072037,2.2849883380009834,514.6534879411583,0.0,False,2026-06-25T17:54:40.011Z,1355.494,1726,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
11.60954,1.9692884856465642,2.866377610844467,1233.9370976775922,0.089,True,2026-06-25T17:54:41.671Z,1357.154,1893,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
4.78506,1.008376571403857,1.900434186448943,283905.06969760155,0.01,False,2026-06-25T17:54:42.324Z,1357.807,1959,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
6.41972,1.2174607397317003,2.2377396312908875,1114976.596974125,0.02,True,2026-06-25T17:54:43.200Z,1358.683,2047,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
5.86129,0.8574453453186125,1.7678336997840196,247.36119755531587,0.01,False,2026-06-25T17:54:43.996Z,1359.48,2127,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
9.52335,1.544093929514178,2.255824634058738,523.6354082126227,0.09,True,2026-06-25T17:54:45.932Z,1361.416,2321,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
7.5331,1.443098151063623,3.6171358323894527,431.5802822773734,0.03,True,2026-06-25T17:54:47.335Z,1362.819,2462,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
11.7722,1.7492176371947625,2.720707734789028,597.90697101974,0.04,True,2026-06-25T17:54:49.823Z,1365.307,2712,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
4.9498,0.9795635522050795,2.5168359599960253,457.1929944574829,0.03,False,2026-06-25T17:54:50.490Z,1365.974,2779,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
4.68945,0.9585650136464491,1.872430024915724,457.1929944574829,0.03,False,2026-06-25T17:54:50.858Z,1366.342,2816,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
20.98709,2.486027771135872,4.295321803183265,1908.8364265547089,0.049,False,2026-06-25T18:27:55.168Z,3350.652,2906,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
11.57405,1.850266467882124,4.78119581232189,1065.9390659418575,0.03,True,2026-06-25T18:27:56.730Z,3352.214,3063,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
4.43356,0.9184098207500929,1.812595411420017,382.6946215078021,0.0,False,2026-06-25T18:27:57.665Z,3353.148,3157,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
17.64762,2.683798898752672,7.102036059627814,1476.1608251110692,0.039,True,2026-06-25T18:27:59.397Z,3354.881,3331,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
