peak_g_mag,std_g_mag,peak_sma150,peak_hp8_vertical,peak_rms150,peak_jerk_mag,max_elevated_dur,peak_hp8_planar,pitch_range,rot_x_range,is_event,impact_timestamp_iso8601,impact_elapsed_sec,impact_source_sample_idx,source_folder,athlete_name
11.5052,1.9857817914110911,7.256779333333333,5.947970572589359,6.178412505750972,1293.19930224033,0.06,4.325614444713941,0.64055,12.502410000000001,False,2026-06-24T19:10:21.688Z,4988.655,3965,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
8.57188,1.9533555869237476,6.04237,2.973369312832199,4.607757146210435,382.61848305913327,0.038,1.8454450341732036,0.9263899999999999,9.54907,False,2026-06-24T19:10:23.279Z,4990.247,4125,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
24.59128,3.1054581065960987,9.928922,8.792607517398261,9.154304761513025,1780.4636592261577,0.03,12.268664776734203,1.44624,25.052410000000002,True,2026-06-24T19:10:25.817Z,4992.784,4380,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
7.69732,1.3269660375332866,9.928922,3.4088862181183863,9.154304761513025,463.6141800084832,0.02,2.600868129997861,0.4572799999999999,12.507079999999998,False,2026-06-24T19:10:26.424Z,4993.391,4441,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
7.81676,1.374080193485615,5.305696666666666,3.287570916484434,4.07437221801347,762.4913913575971,0.037,4.424449113461619,1.1989100000000001,10.572289999999999,False,2026-06-24T19:19:54.463Z,5561.43,4564,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
7.80949,1.15939321986371,5.111599333333333,3.287570916484434,4.07437221801347,762.4913913575971,0.01,4.424449113461619,1.1879899999999999,6.15186,False,2026-06-24T19:19:54.971Z,5561.938,4615,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
5.23886,1.1116802764997293,4.23694375,2.4159990406146603,2.9577907849028557,438.51124324082167,0.011,2.3947687660655537,0.32126999999999994,10.47496,False,2026-06-24T19:19:55.618Z,5562.585,4680,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
6.32879,1.335736289228121,6.720523125000001,2.4159990406146603,4.6361461379678,447.2680203423755,0.059,1.8047097199912023,1.1316700000000002,6.442399999999999,False,2026-06-24T19:19:56.214Z,5563.181,4740,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
5.00649,0.9283749392926192,4.859458000000001,2.628251693536157,3.302423560996782,349.5430838645142,0.017,2.399251336794892,2.17041,10.00103,False,2026-06-24T19:19:56.862Z,5563.829,4805,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
9.82232,1.9464419525629295,7.640270625,2.692818306848364,6.025255661020535,802.2657976867766,0.07,3.816137847037917,0.82168,17.68871,True,2026-06-24T19:19:58.463Z,5565.43,4966,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
8.47781,1.4545022457564492,6.045066,3.241594749159185,4.749787235608209,509.2051142683074,0.088,2.758694543441812,0.45861,14.13932,True,2026-06-24T19:20:02.800Z,5569.767,5402,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
4.64271,0.957109616456012,6.045066,1.547357542097798,4.749787235608209,319.1729329517151,0.088,1.427986967831308,0.8384499999999999,10.53345,False,2026-06-24T19:20:03.350Z,5570.317,5457,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
9.00037,2.0096986511501105,6.47403,3.0925790809894056,5.011712505867689,1664149.02103147,0.06,2.825565502024952,0.90125,7.6275200000000005,False,2026-06-24T19:20:04.325Z,5571.292,5554,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
